#####################################################################
#                 NEPTUNE Txys interpolation data                   #
#####################################################################
#	      MJD           x                   y                s
        42540.0 -0.002368422378120 -0.27029394032D-04 -0.19937243D-07
        42540.5 -0.002368374693721 -0.27143407817D-04 -0.20072873D-07
        42541.0 -0.002368314731389 -0.27272357045D-04 -0.20226326D-07
        42541.5 -0.002368239385295 -0.27413733706D-04 -0.20394675D-07
        42542.0 -0.002368145998718 -0.27564325945D-04 -0.20574158D-07
        42542.5 -0.002368032530673 -0.27720294242D-04 -0.20760264D-07
        42543.0 -0.002367897717880 -0.27877295610D-04 -0.20947878D-07
        42543.5 -0.002367741217896 -0.28030658116D-04 -0.21131486D-07
        42544.0 -0.002367563717334 -0.28175603326D-04 -0.21305432D-07
        42544.5 -0.002367366988972 -0.28307508191D-04 -0.21464232D-07
        42545.0 -0.002367153883769 -0.28422191437D-04 -0.21602909D-07
        42545.5 -0.002366928248413 -0.28516203802D-04 -0.21717336D-07
        42546.0 -0.002366694765505 -0.28587098012D-04 -0.21804556D-07
        42546.5 -0.002366458720948 -0.28633653820D-04 -0.21863056D-07
        42547.0 -0.002366225710397 -0.28656035922D-04 -0.21892948D-07
        42547.5 -0.002366001302881 -0.28655867387D-04 -0.21896069D-07
        42548.0 -0.002365790684168 -0.28636207534D-04 -0.21875955D-07
        42548.5 -0.002365598304966 -0.28601430125D-04 -0.21837705D-07
        42549.0 -0.002365427559529 -0.28557004747D-04 -0.21787726D-07
        42549.5 -0.002365280518941 -0.28509191025D-04 -0.21733381D-07
        42550.0 -0.002365157740567 -0.28464661551D-04 -0.21682543D-07
        42550.5 -0.002365058171323 -0.28430075031D-04 -0.21643098D-07
        42551.0 -0.002364979157714 -0.28411625936D-04 -0.21622410D-07
        42551.5 -0.002364916570040 -0.28414600951D-04 -0.21626793D-07
        42552.0 -0.002364865041364 -0.28442975504D-04 -0.21661033D-07
        42552.5 -0.002364818313306 -0.28499085234D-04 -0.21727990D-07
        42553.0 -0.002364769670274 -0.28583406366D-04 -0.21828332D-07
        42553.5 -0.002364712432104 -0.28694474088D-04 -0.21960428D-07
        42554.0 -0.002364640464027 -0.28828958064D-04 -0.22120431D-07
        42554.5 -0.002364548655143 -0.28981898857D-04 -0.22302551D-07
        42555.0 -0.002364433314974 -0.29147089862D-04 -0.22499500D-07
        42555.5 -0.002364292443980 -0.29317569528D-04 -0.22703074D-07
        42556.0 -0.002364125848193 -0.29486172517D-04 -0.22904804D-07
        42556.5 -0.002363935088145 -0.29646079795D-04 -0.23096610D-07
        42557.0 -0.002363723274271 -0.29791308789D-04 -0.23271377D-07
        42557.5 -0.002363494740576 -0.29917095471D-04 -0.23423420D-07
        42558.0 -0.002363254641768 -0.30020138089D-04 -0.23548766D-07
        42558.5 -0.002363008524227 -0.30098693195D-04 -0.23645279D-07
        42559.0 -0.002362761917920 -0.30152534522D-04 -0.23712615D-07
        42559.5 -0.002362519986342 -0.30182800582D-04 -0.23752042D-07
        42560.0 -0.002362287257618 -0.30191765721D-04 -0.23766179D-07
        42560.5 -0.002362067445188 -0.30182571375D-04 -0.23758678D-07
        42561.0 -0.002361863353784 -0.30158950484D-04 -0.23733902D-07
        42561.5 -0.002361676857488 -0.30124970266D-04 -0.23696625D-07
        42562.0 -0.002361508932218 -0.30084809193D-04 -0.23651767D-07
        42562.5 -0.002361359724429 -0.30042575099D-04 -0.23604176D-07
        42563.0 -0.002361228640064 -0.30002164299D-04 -0.23558465D-07
        42563.5 -0.002361114441316 -0.29967157160D-04 -0.23518883D-07
        42564.0 -0.002361015342498 -0.29940743365D-04 -0.23489225D-07
        42564.5 -0.002360929099613 -0.29925669485D-04 -0.23472768D-07
        42565.0 -0.002360853091079 -0.29924201722D-04 -0.23472226D-07
        42565.5 -0.002360784389520 -0.29938097186D-04 -0.23489712D-07
        42566.0 -0.002360719826868 -0.29968577998D-04 -0.23526713D-07
        42566.5 -0.002360656056964 -0.30016303910D-04 -0.23584050D-07
        42567.0 -0.002360589621186 -0.30081341381D-04 -0.23661849D-07
        42567.5 -0.002360517023070 -0.30163129827D-04 -0.23759495D-07
        42568.0 -0.002360434817363 -0.30260448831D-04 -0.23875595D-07
        42568.5 -0.002360339717582 -0.30371392838D-04 -0.24007949D-07
        42569.0 -0.002360228724151 -0.30493362049D-04 -0.24153533D-07
        42569.5 -0.002360099272607 -0.30623079653D-04 -0.24308521D-07
        42570.0 -0.002359949397978 -0.30756646268D-04 -0.24468343D-07
        42570.5 -0.002359777907098 -0.30889642187D-04 -0.24627807D-07
        42571.0 -0.002359584545393 -0.31017286213D-04 -0.24781278D-07
        42571.5 -0.002359370139250 -0.31134655718D-04 -0.24922942D-07
        42572.0 -0.002359136690858 -0.31236965496D-04 -0.25047131D-07
        42572.5 -0.002358887401012 -0.31319893230D-04 -0.25148707D-07
        42573.0 -0.002358626598342 -0.31379928217D-04 -0.25223476D-07
        42573.5 -0.002358359561438 -0.31414709731D-04 -0.25268588D-07
        42574.0 -0.002358092232817 -0.31423314716D-04 -0.25282877D-07
        42574.5 -0.002357830838963 -0.31406453800D-04 -0.25267098D-07
        42575.0 -0.002357581445966 -0.31366541126D-04 -0.25224013D-07
        42575.5 -0.002357349492672 -0.31307616728D-04 -0.25158302D-07
        42576.0 -0.002357139349987 -0.31235118148D-04 -0.25076300D-07
        42576.5 -0.002356953954479 -0.31155517423D-04 -0.24985574D-07
        42577.0 -0.002356794556519 -0.31075856917D-04 -0.24894385D-07
        42577.5 -0.002356660609295 -0.31003229592D-04 -0.24811074D-07
        42578.0 -0.002356549807906 -0.30944254398D-04 -0.24743454D-07
        42578.5 -0.002356458270537 -0.30904595372D-04 -0.24698240D-07
        42579.0 -0.002356380839484 -0.30888564919D-04 -0.24680582D-07
        42579.5 -0.002356311470286 -0.30898840117D-04 -0.24693728D-07
        42580.0 -0.002356243672906 -0.30936308034D-04 -0.24738828D-07
        42580.5 -0.002356170968805 -0.31000044141D-04 -0.24814908D-07
        42581.0 -0.002356087330491 -0.31087417907D-04 -0.24918980D-07
        42581.5 -0.002355987574191 -0.31194311735D-04 -0.25046293D-07
        42582.0 -0.002355867681015 -0.31315433252D-04 -0.25190690D-07
        42582.5 -0.002355725027238 -0.31444695967D-04 -0.25345058D-07
        42583.0 -0.002355558510556 -0.31575639580D-04 -0.25501813D-07
        42583.5 -0.002355368566541 -0.31701858859D-04 -0.25653407D-07
        42584.0 -0.002355157077950 -0.31817409726D-04 -0.25792813D-07
        42584.5 -0.002354927188164 -0.31917163407D-04 -0.25913938D-07
        42585.0 -0.002354683037854 -0.31997084436D-04 -0.26011963D-07
        42585.5 -0.002354429449895 -0.32054415668D-04 -0.26083559D-07
        42586.0 -0.002354171590758 -0.32087762489D-04 -0.26126999D-07
        42586.5 -0.002353914636752 -0.32097078063D-04 -0.26142141D-07
        42587.0 -0.002353663470635 -0.32083560514D-04 -0.26130313D-07
        42587.5 -0.002353422428712 -0.32049480187D-04 -0.26094115D-07
        42588.0 -0.002353195111366 -0.31997959636D-04 -0.26037164D-07
        42588.5 -0.002352984262068 -0.31932730262D-04 -0.25963805D-07
        42589.0 -0.002352791712479 -0.31857887719D-04 -0.25878830D-07
        42589.5 -0.002352618385292 -0.31777663941D-04 -0.25787207D-07
        42590.0 -0.002352464342649 -0.31696228083D-04 -0.25693844D-07
        42590.5 -0.002352328866608 -0.31617522894D-04 -0.25603397D-07
        42591.0 -0.002352210558689 -0.31545138061D-04 -0.25520116D-07
        42591.5 -0.002352107447535 -0.31482218200D-04 -0.25447736D-07
        42592.0 -0.002352017096371 -0.31431400712D-04 -0.25389401D-07
        42592.5 -0.002351936704715 -0.31394777287D-04 -0.25347614D-07
        42593.0 -0.002351863201390 -0.31373872361D-04 -0.25324217D-07
        42593.5 -0.002351793328277 -0.31369632059D-04 -0.25320370D-07
        42594.0 -0.002351723716327 -0.31382418019D-04 -0.25336546D-07
        42594.5 -0.002351650957092 -0.31412002039D-04 -0.25372525D-07
        42595.0 -0.002351571674325 -0.31457559447D-04 -0.25427386D-07
        42595.5 -0.002351482600893 -0.31517661463D-04 -0.25499496D-07
        42596.0 -0.002351380666163 -0.31590269366D-04 -0.25586505D-07
        42596.5 -0.002351263098262 -0.31672735751D-04 -0.25685342D-07
        42597.0 -0.002351127543943 -0.31761820613D-04 -0.25792234D-07
        42597.5 -0.002350972206302 -0.31853732074D-04 -0.25902750D-07
        42598.0 -0.002350795997008 -0.31944203112D-04 -0.26011890D-07
        42598.5 -0.002350598694929 -0.32028616096D-04 -0.26114225D-07
        42599.0 -0.002350381097141 -0.32102185511D-04 -0.26204116D-07
        42599.5 -0.002350145141759 -0.32160204989D-04 -0.26275999D-07
        42600.0 -0.002349893976130 -0.32198356829D-04 -0.26324754D-07
        42600.5 -0.002349631940647 -0.32213070348D-04 -0.26346124D-07
        42601.0 -0.002349364440311 -0.32201900635D-04 -0.26337165D-07
        42601.5 -0.002349097685259 -0.32163884279D-04 -0.26296668D-07
        42602.0 -0.002348838298541 -0.32099817458D-04 -0.26225488D-07
        42602.5 -0.002348592812849 -0.32012399160D-04 -0.26126717D-07
        42603.0 -0.002348367103258 -0.31906191911D-04 -0.26005637D-07
